Region,Year,Gender,Age_Group,Population,PCC_litres_year,Correction_factor,Relative_consumption,P_LA,P_FD,P_CD,P_BD
04:NB,2007,Male,65+,47832,8.4916,0.8,79.7561,0.122249,0.233881,0.64387,0.203124
04:NB,2007,Female,15-34,93069,8.4916,0.8,40.9259,0.181659,0.111955,0.706386,0.333892
04:NB,2007,Female,35-64,166874,8.4916,0.8,33.6248,0.101375,0.164692,0.733933,0.200117
04:NB,2007,Female,65+,62190,8.4916,0.8,20.6507,0.179096,0.261894,0.55901,0.069087
04:NB,2008,Male,15-34,88402,8.4916,0.8,100,0.126123,0.083798,0.79008,0.467041
04:NB,2008,Male,35-64,161190,8.4916,0.8,92.72,0.045736,0.136543,0.81772,0.333326
04:NB,2008,Male,65+,45243,8.4916,0.8,79.7899,0.122862,0.233566,0.643572,0.202456
04:NB,2008,Female,15-34,88709,8.4916,0.8,41.0333,0.182165,0.111617,0.706218,0.333262
04:NB,2008,Female,35-64,170600,8.4916,0.8,33.7413,0.101963,0.164373,0.733664,0.199457
04:NB,2008,Female,65+,60711,8.4916,0.8,20.7904,0.179693,0.261576,0.558731,0.068424
04:NB,2009,Male,15-34,89070,8.6112,0.8,100,0.126674,0.08347,0.789857,0.466395
04:NB,2009,Male,35-64,159275,8.6112,0.8,92.7306,0.046326,0.136224,0.81745,0.332666
04:NB,2009,Male,65+,46490,8.6112,0.8,79.8221,0.12348,0.233254,0.643266,0.201787
04:NB,2009,Female,15-34,90755,8.6112,0.8,41.1395,0.182693,0.111283,0.706025,0.332625
04:NB,2009,Female,35-64,165000,8.6112,0.8,33.8581,0.10254,0.164051,0.733409,0.198801
04:NB,2009,Female,65+,61145,8.6112,0.8,20.9288,0.180307,0.261262,0.558431,0.067757
04:NB,2010,Male,15-34,89070,8.4916,0.8,100,0.12751,0.082979,0.789511,0.465422
04:NB,2010,Male,35-64,159275,8.4916,0.8,92.7492,0.047179,0.135738,0.817083,0.331687
04:NB,2010,Male,65+,46490,8.4916,0.8,79.8735,0.124379,0.232777,0.642843,0.200792
